schema_name,table_name,column_name,column_data_type,full_data_type,CEDS_GlobalId,CEDS_Element
RDS,BridgeAeStudentEnrollmentRaces,BridgeFactAeStudentEnrollmentRaceId,int,int,NULL,NULL
RDS,BridgeAeStudentEnrollmentRaces,FactAeStudentEnrollmentId,int,int,NULL,NULL
RDS,BridgeAeStudentEnrollmentRaces,RaceId,int,int,NULL,NULL
RDS,BridgeK12ProgramParticipationRaces,BridgeK12ProgramParticipationId,bigint,bigint,NULL,NULL
RDS,BridgeK12ProgramParticipationRaces,FactK12ProgramParticipationId,bigint,bigint,NULL,NULL
RDS,BridgeK12ProgramParticipationRaces,RaceId,int,int,NULL,NULL
RDS,BridgeK12SchoolGradeLevels,BridgeK12SchoolGradeLevelId,int,int,NULL,NULL
RDS,BridgeK12SchoolGradeLevels,K12SchoolId,int,int,NULL,NULL
RDS,BridgeK12SchoolGradeLevels,GradeLevelId,int,int,NULL,NULL
RDS,BridgeK12StudentAssessmentAccommodations,FactK12StudentAssessmentAccommodationId,int,int,NULL,NULL
RDS,BridgeK12StudentAssessmentAccommodations,FactK12StudentAssessmentId,int,int,NULL,NULL
RDS,BridgeK12StudentAssessmentAccommodations,AssessmentAccommodationId,int,int,NULL,NULL
RDS,BridgeK12StudentAssessmentRaces,BridgeK12StudentAssessmentRaceId,int,int,NULL,NULL
RDS,BridgeK12StudentAssessmentRaces,FactK12StudentAssessmentId,int,int,NULL,NULL
RDS,BridgeK12StudentAssessmentRaces,RaceId,int,int,NULL,NULL
RDS,BridgeK12StudentCourseSectionK12Staff,BridgeK12StudentCourseSectionK12StaffId,int,int,NULL,NULL
RDS,BridgeK12StudentCourseSectionK12Staff,K12StaffId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentCourseSectionK12Staff,FactK12StudentCourseSectionId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentCourseSectionK12Staff,TeacherOfRecord,bit,bit,000647,Teacher of Record
RDS,BridgeK12StudentCourseSectionRaces,BridgeK12StudentCourseSectionRaceId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentCourseSectionRaces,FactK12StudentCourseSectionId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentCourseSectionRaces,RaceId,int,int,NULL,NULL
RDS,BridgeK12StudentCourseSectionsCipCodes,BridgeK12StudentCourseSectionsCipCodeId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentCourseSectionsCipCodes,FactK12StudentCourseSectionId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentCourseSectionsCipCodes,CipCodeId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineDiscplineReasons,BridgeK12StudentDisciplineDiscplineReasonId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineDiscplineReasons,FactK12StudentDisciplineId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineDiscplineReasons,DisciplineReasonId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineIdeaDisabilityTypes,BridgeK12StudentDisciplineIdeaDisabilityTypeId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineIdeaDisabilityTypes,IdeaDisabilityTypeId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineIdeaDisabilityTypes,FactK12StudentDisciplineId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineIncidentBehaviors,BridgeK12StudentDisciplineIncidentBehaviorId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineIncidentBehaviors,FactK12StudentDisciplineId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineIncidentBehaviors,IncidentBehaviorId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineRaces,BridgeK12StudentDisciplineRaceId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineRaces,FactK12StudentDisciplineId,int,int,NULL,NULL
RDS,BridgeK12StudentDisciplineRaces,RaceId,int,int,NULL,NULL
RDS,BridgeK12StudentEconomicDisadvantageRaces,BridgeK12StudentEconomicDisadvantageRaceId,int,int,NULL,NULL
RDS,BridgeK12StudentEconomicDisadvantageRaces,FactK12StudentEconomicDisadvantageId,int,int,NULL,NULL
RDS,BridgeK12StudentEconomicDisadvantageRaces,RaceId,int,int,NULL,NULL
RDS,BridgeK12StudentEnrollmentIdeaDisabilityTypes,BridgeK12StudentEnrollmentIdeaDisabilityTypeId,int,int,NULL,NULL
RDS,BridgeK12StudentEnrollmentIdeaDisabilityTypes,FactK12StudentEnrollmentId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentEnrollmentIdeaDisabilityTypes,IdeaDisabilityTypeId,int,int,NULL,NULL
RDS,BridgeK12StudentEnrollmentPersonAddresses,BridgeK12StudentEnrollmentPersonAddressId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentEnrollmentPersonAddresses,FactK12StudentEnrollmentId,bigint,bigint,NULL,NULL
RDS,BridgeK12StudentEnrollmentPersonAddresses,PersonAddressId,int,int,NULL,NULL
RDS,BridgeK12StudentEnrollmentPersonAddresses,AddressTypeForLearnerOrFamilyCode,nvarchar,nvarchar(100),000010,Address Type for Learner or Family
RDS,BridgeK12StudentEnrollmentPersonAddresses,AddressTypeForLearnerOrFamilyDescription,nvarchar,nvarchar(300),000010,Address Type for Learner or Family
RDS,BridgeK12StudentEnrollmentRaces,BridgeK12StudentEnrollmentRaceId,bigint,bigint,NULL,NULL
