"Global ID","Data Model ID","Element Name"
"001663",74974,"Organization Image URL"
"001750",74981,"Organization Region GeoJSON"
"001418",74472,"Organization Operational Status"
"000534",75774,"Operational Status Effective Date"
"000826",72282,"Organization Identifier"
"000827",72283,"Organization Identification System"
"001156",71785,"Organization Type"
"000204",74380,"Organization Name"
"000424",74389,"State ANSI Code"
"001905",75008,"Organization Relationship Type"
"000012",75813,"Administrative Funding Control"
"001072",75814,"Local Education Agency Identification System"
"001068",75815,"Local Education Agency Identifier"
"000191",75816,"Name of Institution"
"001073",75817,"School Identification System"
"001069",75818,"School Identifier"
"001487",75819,"Short Name of Organization"
"001491",75820,"State Agency Identification System"
"001490",75821,"State Agency Identifier"
"001066",74206,"Address Type for Organization"
"000269",74205,"Address Street Number and Name"
"000019",74208,"Address Apartment Room or Suite Number"
"000040",74209,"Address City"
"000267",74211,"State Abbreviation"
"000214",74210,"Address Postal Code"
"000190",74204,"Address County Name"
"001209",74207,"County ANSI Code"
"000602",74473,"Building Site Number"
"000606",74275,"Latitude"
"000607",74298,"Longitude"
"001928",75273,"Do Not Publish Indicator"
"000279",74213,"Telephone Number"
"000167",74212,"Institution Telephone Number Type"
"000219",74214,"Primary Telephone Number Indicator"
"001928",75278,"Do Not Publish Indicator"
"001927",75279,"Telephone Number Listed Status"
"000213",74474,"Position Title"
"001428",74475,"Primary Contact Indicator"
"000704",74174,"Web Site Address"
"000115",74477,"First Name"
"000184",74480,"Middle Name"
"000172",74479,"Last or Surname"
"000121",74478,"Generation Code or Suffix"
"000212",74481,"Personal Title or Prefix"
"001066",70724,"Address Type for Organization"
"000269",70709,"Address Street Number and Name"
"000019",70703,"Address Apartment Room or Suite Number"
"000040",70704,"Address City"
"000267",70708,"State Abbreviation"
"000214",70706,"Address Postal Code"
"000190",70705,"Address County Name"
"001209",72140,"County ANSI Code"
"000050",74476,"Country Code"
"000606",74257,"Latitude"
"000607",74280,"Longitude"
"001928",75274,"Do Not Publish Indicator"
"002130",76588,"Locale "
"000279",70710,"Telephone Number"
"000280",71980,"Telephone Number Type"
"000219",70707,"Primary Telephone Number Indicator"
"001928",75276,"Do Not Publish Indicator"
"001927",75277,"Telephone Number Listed Status"
"000088",73967,"Electronic Mail Address"
"000089",73969,"Electronic Mail Address Type"
"001928",75275,"Do Not Publish Indicator"
"001514",74485,"Other First Name"
"001513",74484,"Other Last Name"
"001515",74486,"Other Middle Name"
"000206",74482,"Other Name"
"000634",74483,"Other Name Type"
"000829",72285,"Early Childhood Program Enrollment Type"
"000864",72315,"Early Learning Program Year"
"000985",71436,"Session Start Time"
"000986",71437,"Session End Time"
"000866",72317,"Full-Time Employee Benefits"
"000867",72318,"Part-Time Employee Benefits"
"000868",72319,"Differential Shift Pay Indicator"
"000825",71981,"Early Learning Program Annual Operating Weeks"
"001633",74129,"Community-based Type"
"001634",74138,"Inclusive Setting Indicator"
"000012",75824,"Administrative Funding Control"
"000351",70714,"Operation Date"
"000353",70715,"Service Option Variation"
"000354",70716,"Hours Available Per Day"
"000355",70717,"Days Available Per Week"
"000356",70718,"Early Childhood Setting"
"000844",72298,"Number of Classrooms"
"000633",70723,"Early Learning Youngest Age Authorized to Serve"
"001225",71630,"Early Learning Oldest Age Authorized to Serve"
"000852",72305,"Special Circumstances Population Served"
"000862",72313,"Economic Research Service Rural-Urban Continuum Code"
"001999",75775,"Adjusted Capacity"
"002000",75776,"Adjusted Capacity Reason Type"
"000048",75777,"Control of Institution"
"002001",75778,"Early Learning Age 2 and Older Capacity"
"002002",75779,"Early Learning Age Under 2 Capacity"
"002012",75780,"Enrollment Capacity"
"000504",75781,"Facilities Identifier"
"000587",75782,"Internet Access"
"000174",75783,"Local Education Agency Operational Status"
"000537",75784,"Local Education Agency Type"
"000729",75785,"Predominant Calendar System"
"000225",75786,"Program Type"
"000241",75787,"School Level"
"000533",75788,"School Operational Status"
"001160",75789,"Virtual Indicator"
"001766",75790,"Virtual School Status"
"000704",75791,"Web Site Address"
"000632",70722,"Site Name"
"001767",75825,"National School Lunch Program Status"
"001487",75826,"Short Name of Organization"
"000585",75827,"State Poverty Designation"
"000273",75828,"Student Support Service Type"
"000284",75829,"Title I Program Type"
"000834",72288,"Facility Profit Status"
"000984",71435,"Facility Licensing Status"
"000865",72316,"State Licensed Facility Capacity"
"000828",72284,"Early Learning Program Licensing Status"
"000348",70711,"Initial License Date"
"000349",70712,"Continuing License Date"
"000350",70713,"License Exempt"
"000835",72289,"Number of Early Learning Fatalities"
"000836",72290,"Number of Early Learning Injuries"
"000837",72291,"Early Learning Program License Suspension Status"
"000838",72292,"Early Learning Program License Revocation Status"
"001999",75822,"Adjusted Capacity"
"002000",75823,"Adjusted Capacity Reason Type"
"000357",70719,"Quality Rating and Improvement System Participation"
"000358",70720,"Quality Rating and Improvement System Score"
"000830",72286,"Quality Rating and Improvement System Award Date"
"000831",72287,"Quality Rating and Improvement System Expiration Date"
"000843",72297,"Number of Quality Rating and Improvement System Levels"
"001331",73137,"Monitoring Visit Start Date"
"001332",73138,"Monitoring Visit End Date"
"001330",73136,"Organization Monitoring Notifications"
"001334",73140,"Organization Type of Monitoring"
"001333",73139,"Purpose of Monitoring Visit"
"000982",71510,"Accreditation Agency"
"000840",72294,"Accreditation Award Date"
"000841",72295,"Accreditation Expiration Date"
"001419",73301,"Organization Seeking Accreditation Date"
"001461",73368,"Quality Initiative Minimum Score"
"001460",73367,"Quality Initiative Maximum Score"
"001465",73372,"Quality Initiative Participation Start Date"
"001464",73371,"Quality Initiative Participation End Date"
"001463",73370,"Quality Initiative Participation Indicator"
"001462",73369,"Quality Initiative Score Level"
"000851",75166,"Program Health Safety Checklist Use Status"
"000983",71434,"Administrative Policy Type"
"000842",72296,"Personnel Policy Type"
"000859",72312,"Program Transition Planning Policy"
"001328",74135,"Early Learning Federal Funding Type"
"001335",74136,"Early Learning Other Federal Funding Sources"
"000547",74137,"Federal Program Code"
"001345",75792,"Financial Account Category"
"001346",75793,"Financial Account Description"
"001347",75794,"Financial Account Fund Classification"
"001349",75795,"Financial Account Program Code"
"001468",75796,"Financial Account Revenue Code"
"001348",75797,"Financial Account Name"
"001554",75798,"Financial Account Number"
"001645",75799,"Financial Account Program Name"
"001646",75800,"Financial Account Program Number"
"001647",75801,"Financial Accounting Value"
"001648",75802,"Financial Accounting Date"
"001350",75803,"Financial Accounting Period Actual Value"
"001351",75804,"Financial Accounting Period Budgeted Value"
"001644",75805,"Financial Accounting Period Encumbered Value"
"001354",75806,"Financial Expenditure Function Code"
"001555",75807,"Financial Expenditure Level of Instruction Code"
"001355",75808,"Financial Expenditure Object Code"
"001556",75809,"Financial Expenditure Project Reporting Code"
"001642",75810,"Fiscal Period Begin Date"
"001643",75811,"Fiscal Period End Date"
"001639",75812,"Fiscal Year"
"002059",76036,"Funding Source Amount"
"002058",76037,"Funding Source Percentage"
"002137",76629,"Indirect Cost Rate"
"002136",76622,"Indirect Cost Rate Agreement Approved By"
"002135",76615,"Indirect Cost Rate Agreement End Date"
"002133",76601,"Indirect Cost Rate Agreement Indicator"
"002134",76608,"Indirect Cost Rate Agreement Start Date"
"002139",76643,"Indirect Cost Rate Deviation Reason Type"
"002138",76636,"Indirect Cost Rate Stage Code"
"000863",72314,"Program Follows Salary Scale"
"001493",73433,"Technical Assistance Approved Indicator"
"001494",73437,"Technical Assistance Delivery Type"
"001495",73441,"Technical Assistance Type"
"001625",74104,"Service Partner Name"
"001624",74103,"Service Partner Description"
"001615",74088,"Memorandum of Understanding Start Date"
"001614",74087,"Memorandum of Understanding End Date"
"000845",72299,"Program Provides Translated Materials"
"001226",71631,"Language Translation Policy"
"000847",72300,"Ongoing Health Screening Policy"
"000848",72301,"Early Learning Program Developmental Screening Status"
"000849",72302,"Immunization Policy"
"000850",72303,"Referral Policy"
"000307",72845,"Required Immunization"
"001001",71440,"Special Needs Policy"
"000853",72306,"Program Provides Written Handbook"
"000854",72307,"Program Collects Parental Feedback"
"000855",72308,"Program Provides Parent Involvement Opportunity"
"000856",72309,"Program Provides Parent Education"
"000857",72310,"Parent Communication Method"
"000858",72311,"Assessment Shared with Parents"
"002104",76032,"Board Member Position Type"
"002103",76033,"Board Member Term End Date"
"002102",76034,"Board Member Term Start Date"
"002105",76035,"Board Membership Type"
"002073",76038,"Coding System Organization Type"
"002074",76039,"Education Job Type"
"002070",76040,"Job Identification System"
"002069",76041,"Job Identifier"
"002077",76042,"Job Position Expected Start Date"
"002076",76043,"Job Position Identification System"
"002075",76044,"Job Position Identifier"
"002078",76045,"Job Position Status"
"002080",76046,"Job Position Status Cancelled Reason"
"002079",76047,"Job Position Status Date"
"002071",76048,"Local Job Category"
"002072",76049,"Local Job Function"
"002063",76050,"Organization Jurisdiction Square Miles"
"000115",70622,"First Name"
"000184",70627,"Middle Name"
"000172",70626,"Last or Surname"
"000121",70623,"Generation Code or Suffix"
"000634",71964,"Other Name Type"
"001514",73627,"Other First Name"
"001515",73643,"Other Middle Name"
"001513",73611,"Other Last Name"
"000206",71965,"Other Name"
"001080",71351,"Child Identifier"
"000785",71352,"Child Identification System"
"000618",72214,"Personal Information Verification"
"001945",75506,"Personal Information Type"
"000010",70659,"Address Type for Learner or Family"
"000269",70634,"Address Street Number and Name"
"000019",70616,"Address Apartment Room or Suite Number"
"000040",70618,"Address City"
"000267",70633,"State Abbreviation"
"000214",70630,"Address Postal Code"
"000190",70628,"Address County Name"
"000050",70619,"Country Code"
"000606",74255,"Latitude"
"000607",74278,"Longitude"
"001209",75262,"County ANSI Code"
"001928",75263,"Do Not Publish Indicator"
"000279",71966,"Telephone Number"
"000280",72210,"Telephone Number Type"
"000219",72211,"Primary Telephone Number Indicator"
"001928",75264,"Do Not Publish Indicator"
"001927",75265,"Telephone Number Listed Status"
"000088",75729,"Electronic Mail Address"
"000089",75730,"Electronic Mail Address Type"
"000033",70617,"Birthdate"
"000255",70632,"Sex"
"000016",70663,"American Indian or Alaska Native"
"000020",70664,"Asian"
"000034",70665,"Black or African American"
"000192",70666,"Native Hawaiian or Other Pacific Islander"
"000301",70667,"White"
"000973",74132,"Demographic Race Two or More Races"
"001421",73305,"Other Race Indicator"
"000144",70624,"Hispanic or Latino Ethnicity"
"000149",70625,"Homelessness Status"
"000189",73291,"Migrant Status"
"000051",75266,"Country of Birth Code"
"001657",75267,"Tribal Affiliation"
"001944",75500,"Federal Race and Ethnicity Declined"
"001943",75501,"Race"
"001576",75731,"Military Connected Student Indicator"
"000532",75732,"Public School Residence Status"
"000427",75733,"State of Birth Abbreviation"
"001486",73418,"Referred To"
"001481",73411,"Referral Date"
"001483",73413,"Referral Reason"
"001484",73414,"Referral Source"
"001485",73417,"Referral Type Received"
"001482",73412,"Referral Outcome"
"000439",74714,"Medical Alert Indicator"
"001283",73562,"Allergy Type"
"001282",73561,"Allergy Severity"
"001281",73560,"Allergy Reaction Description"
"001358",73210,"Health Screening Equipment Used"
"001359",73211,"Health Screening Follow-up Recommendation"
"000306",70636,"Immunization Date"
"001248",70637,"Immunization Type"
"000703",70668,"Vision Screening Date"
"000308",70638,"Vision Screening Status"
"000705",70669,"Hearing Screening Date"
"000309",70639,"Hearing Screening Status"
"000706",70670,"Dental Screening Date"
"000310",70640,"Dental Screening Status"
"000335",70657,"Insurance Coverage"
"000336",70658,"Dental Insurance Coverage Type"
"000312",70641,"Weight at Birth"
"000313",70642,"Weeks of Gestation"
"001630",74112,"Trimester When Prenatal Care Began"
"001623",74101,"Scheduled Well Child Screening"
