IndicatorName,IndicatorDataElement,DataModelId,GlobalId,DataWarehouseLocations
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Demographic -> Birthdate,70617,000033,RDS.DimPeople.BirthDate
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Demographic -> Hispanic or Latino Ethnicity,70624,000144,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Demographic -> Homelessness Status,70625,000149,RDS.DimAeDemographics.HomelessnessStatusCode; RDS.DimAeDemographics.HomelessnessStatusDescription; RDS.DimHomelessnessStatuses.HomelessnessStatusCode; RDS.DimHomelessnessStatuses.HomelessnessStatusDescription; RDS.DimHomelessnessStatuses.HomelessnessStatusEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.HOMElESSNESSSTATUS; RDS.ReportEDFactsK12StudentCounts.HOMELESSNESSSTATUS; RDS.ReportEDFactsK12StudentDisciplines.HOMELESSNESSSTATUS; RDS.ReportPsAttainment.HomelessnessStatus
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Demographic -> Migrant Status,73291,000189,RDS.DimAeDemographics.MigrantStatusCode; RDS.DimAeDemographics.MigrantStatusDescription; RDS.DimMigrantStatuses.MigrantStatusCode; RDS.DimMigrantStatuses.MigrantStatusDescription; RDS.DimMigrantStatuses.MigrantStatusEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.MIGRANTSTATUS; RDS.ReportEDFactsK12StudentAttendance.MIGRANTSTATUS; RDS.ReportEDFactsK12StudentCounts.MIGRANTSTATUS; RDS.ReportEDFactsK12StudentDisciplines.MIGRANTSTATUS; RDS.ReportEDFactsOrganizationStatusCounts.MIGRANTSTATUS; RDS.ReportK12PsProgramEffectiveness.MigrantStatus; RDS.ReportPsAttainment.MigrantStatus
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Demographic -> Military Connected Student Indicator,75731,001576,RDS.DimAeDemographics.MilitaryConnectedStudentIndicatorCode; RDS.DimAeDemographics.MilitaryConnectedStudentIndicatorDescription; RDS.DimMilitaryStatuses.MilitaryConnectedStudentIndicatorCode; RDS.DimMilitaryStatuses.MilitaryConnectedStudentIndicatorDescription; RDS.DimMilitaryStatuses.MilitaryConnectedStudentIndicatorEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.MILITARYCONNECTEDSTUDENTINDICATOR; RDS.ReportEDFactsK12StudentAttendance.MILITARYCONNECTEDSTATUS; RDS.ReportEDFactsK12StudentCounts.MILITARYCONNECTEDSTUDENTINDICATOR; RDS.ReportEDFactsK12StudentDisciplines.MILITARYCONNECTEDSTUDENTINDICATOR
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Demographic -> Race,75501,001943,RDS.DimRaces.RaceCode; RDS.DimRaces.RaceDescription; RDS.DimRaces.RaceEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.RACE; RDS.ReportEDFactsK12StudentAttendance.RACE; RDS.ReportEDFactsK12StudentCounts.RACE; RDS.ReportEDFactsK12StudentDisciplines.RACE; RDS.ReportEDFactsOrganizationStatusCounts.RACE; RDS.ReportEDFactsSchoolPerformanceIndicators.RACE; RDS.ReportK12PsProgramEffectiveness.RaceEthnicity; RDS.ReportPsAttainment.RaceEthnicity
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Demographic -> Sex,70632,000255,RDS.DimAeDemographics.SexCode; RDS.DimAeDemographics.SexDescription; RDS.DimK12Demographics.SexCode; RDS.DimK12Demographics.SexDescription; RDS.DimK12Demographics.SexEdFactsCode; RDS.DimPsDemographics.SexCode; RDS.DimPsDemographics.SexDescription; RDS.ReportEDFactsK12StudentAssessments.SEX; RDS.ReportEDFactsK12StudentAttendance.SEX; RDS.ReportEDFactsK12StudentCounts.SEX; RDS.ReportEDFactsK12StudentDisciplines.SEX; RDS.ReportEDFactsOrganizationStatusCounts.SEX; RDS.ReportEDFactsSchoolPerformanceIndicators.SEX; RDS.ReportK12PsProgramEffectiveness.Sex; RDS.ReportPsAttainment.Sex
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Disability -> Disability Status,74718,000577,RDS.DimDisabilityStatuses.DisabilityStatusCode; RDS.DimDisabilityStatuses.DisabilityStatusDescription
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Disability -> IDEA Indicator,74716,000151,RDS.DimIdeaStatuses.IdeaIndicatorCode; RDS.DimIdeaStatuses.IdeaIndicatorDescription; RDS.DimIdeaStatuses.IdeaIndicatorEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.IDEAINDICATOR; RDS.ReportEDFactsK12StudentCounts.IDEAINDICATOR; RDS.ReportEDFactsK12StudentDisciplines.IDEAINDICATOR; RDS.ReportK12PsProgramEffectiveness.IdeaIndicator; RDS.ReportPsAttainment.IdeaIndicator
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Disability -> Primary Disability Type,70631,000218,RDS.DimIdeaDisabilityTypes.IdeaDisabilityTypeCode; RDS.DimIdeaDisabilityTypes.IdeaDisabilityTypeDescription; RDS.DimIdeaDisabilityTypes.IdeaDisabilityTypeEdFactsCode
