DataElementName,OriginalDataElementName,Category,Sector,Notes,Indicators,IsDisaggregate
ACT completion,ACT completion,Postsecondary Transitions,,,SAT and ACT participation and performance,False
ACT score,ACT score,Postsecondary Transitions,,,SAT and ACT participation and performance,False
Advising and counseling service utilization,Advising and counseling service utilization,Postsecondary Transitions,,,Access to college and career advising,False
Age,Age (or birth date),School Climate,,"Numerical age as of point in time, or birth date",Enrollment in quality public pre-K; Mental and emotional well-being,False
Age group,"Age group (for example, adult learners)",Postsecondary Success,,"Generalized category of age, e.g. adult or minor",,True
AP course designation,AP course designation,Postsecondary Transitions,,,Access to early college coursework,False
"AP, IB, or Dual Credit course credits",AP course passage; AP credit earned (or AP test scores); AP test completion; Dual credit course passage; Dual credit earned; Dual credit test completion; IB course passage; IB credit earned (or IB test scores); IB test completion,Postsecondary Transitions,,,Access to early college coursework; Early college coursework completion,False
Apprenticeship program enrollment date,Apprenticeship program enrollment date,Workforce Transitions,,,Successful career transition after high school,False
Average cost of attendance,Average cost of attendance,Postsecondary Success,,,Unmet financial need,False
Average expected family contribution (EFC),Average expected family contribution (EFC),Postsecondary Success,,,Unmet financial need,False
"Average financial aid amount (including grants, scholarships, and tuition waivers)",Average value of grants; Average value of scholarships; Average value of tuition waivers; Financial aid amount,Postsecondary Success,,,Financial aid; Unmet financial need,False
Average pay in county or MSA,Average pay in county or MSA,Workforce Success,,,Access to jobs paying a living wage,False
Bachelor's degree completion date,Bachelor's degree completion date,Postsecondary Success,,,Enrollment in graduate education,False
Basic skills level,Basic skills level,Workforce Transitions,,,,True
Benefits availability,Benefits availability,Workforce Success,,,Job quality,False
Campus climate surveys (K-12),Results on school climate survey (K-12),School Climate,K-12,,School safety,False
Campus climate surveys (Postsecondary),Results on campus climate survey (Postsecondary),Postsecondary Success,Postsecondary,,School safety,False
CHIP eligibility status,CHIP eligibility status,School Climate,,,Health insurance coverage,False
CHIP enrollment,CHIP enrollment,School Climate,,,Health insurance coverage,False
City or county population,City or county population,School Climate,,,Exposure to neighborhood crime; Neighborhood juvenile arrests,False
Civic engagement surveys (K-12),Civic engagement survey results (K-12),Social-Emotional Learning,K-12,,Civic engagement,False
Civic engagement surveys (Postsecondary),Civic engagement survey results (Postsecondary),Postsecondary Success,Postsecondary,,Civic engagement,False
Civic engagement surveys (Workforce),Civic engagement survey results (Workforce),Workforce Success,Workforce,,Civic engagement,False
Cohort graduation year,Cohort graduation year,Postsecondary Transitions,,,High school graduation,False
